AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
115,-57,95,-407,2468,707,55,-5,58,146,214,153,35,-25,33,46,-421,-100,22,-16,12,101,-629,-210,8,-4,0,-19,-655,38,-16,12,-23,178,-1270,-332,-25,5,-44,-225,-801,-202,-25,28,-37,-36,-323,-178,-29,21,-30,-194,226,130,-17,16,-14,29,568,-31,-14,4,-9,-116,788,341,-5,2,11,170,729,32,-3,-9,8,12,594,222,4,-3,13,117,284,52,2,-9,6,-15,88,106,2,-2,5,22,-7,22,2,-2,2,-7,0,25,2,0,1,0,-3,-26,1,-1,0,-4,9,10,0,0,0,12,16,-37,0,0,0,-3,8,-5,0,1,0,3,-8,-22,0,0,-1,-3,-10,24,0,0,0,4,-6,-23,0,0,0,-5,-4,13,0,0,0,5,2,13,0,0,0,3,4,4,0,0,0,1,7,9,0,0,0,0,-2,-6,0,0,0,6,0,7,left
58,-129,67,-142,-509,-368,-10,41,-20,-247,-746,-161,9,35,-20,-20,-117,78,-1,1,-17,55,76,25,-5,-2,-5,25,27,-72,-14,21,-19,46,136,-42,6,-15,3,116,323,188,-3,-20,7,26,104,-70,3,0,10,-37,-35,-11,6,2,1,-28,-11,-37,4,5,3,-14,-23,5,-1,0,1,-26,-8,24,-1,0,2,-4,-22,3,0,-1,0,-14,-8,3,1,1,1,0,-13,4,0,0,0,-12,-7,10,0,0,1,8,-8,-9,0,0,0,-13,-3,4,0,0,0,4,-15,2,0,0,0,-10,3,2,0,0,0,-2,-7,6,0,0,0,-4,-5,-11,0,0,0,2,-11,10,0,-1,0,-3,-9,-4,0,0,0,10,-12,-17,0,0,0,7,0,8,0,0,0,4,-5,3,0,0,0,-2,1,-7,0,0,0,6,8,-5,0,0,0,0,7,17,left
153,-59,-20,-28,4735,917,95,-44,48,108,1570,250,64,-15,52,229,148,106,27,-33,17,-106,-257,13,17,3,22,-52,-299,220,-17,0,22,8,-1320,-320,-27,20,1,-48,-1087,-165,-29,4,-14,-82,-640,-170,-11,27,-5,159,-410,-154,-9,-10,-24,-40,-322,-89,-2,17,-19,-47,-262,36,-7,-3,-28,-221,-110,85,-13,10,-26,-104,175,12,-20,2,-18,-73,480,114,-17,9,-8,147,623,-67,-18,-5,-5,72,647,211,-10,1,5,228,571,-39,-1,-5,9,57,385,14,6,-2,11,11,147,29,6,-2,11,-42,5,74,4,0,7,-28,-19,41,2,-1,2,1,0,0,2,-1,0,-8,-8,-9,0,0,0,-10,-17,-6,0,0,0,-13,-8,6,0,1,0,4,1,-15,0,0,0,-5,-6,-3,0,0,0,-1,-5,19,0,-1,0,0,-3,-1,0,0,0,-4,-1,1,left
144,-54,55,37,3605,827,82,-28,47,6,1187,262,67,-12,62,255,133,48,37,-23,29,-62,-251,-28,26,-3,22,15,-386,133,-8,0,4,-56,-1216,-263,-19,11,-8,-36,-1040,-238,-31,5,-33,-157,-667,-100,-24,16,-23,26,-345,-102,-24,0,-23,-79,-83,-9,-19,11,-17,-17,79,40,-13,-1,-16,-32,239,42,-7,6,-3,-23,324,40,-4,2,-4,-33,369,32,-2,10,0,61,340,74,-3,0,-2,91,337,32,-1,3,3,54,294,42,-3,-5,-3,58,270,81,-1,0,3,65,195,41,0,-6,1,6,153,18,3,-1,4,-25,94,39,3,-2,4,19,35,1,3,1,4,-25,0,21,2,0,2,-4,-18,-8,0,0,2,5,-28,3,0,0,0,9,-16,-6,0,0,-1,0,-7,-15,-1,-1,-1,1,-9,-6,0,0,0,2,2,-10,0,0,0,-6,4,8,left
133,-51,62,-224,2706,551,92,-14,69,230,618,122,55,-18,45,34,-90,35,34,-10,29,-37,-321,-90,25,-10,18,-13,-409,45,-5,9,2,8,-1086,-278,-19,4,-18,-102,-879,-115,-20,11,-25,-25,-598,-203,-18,8,-31,-54,-362,-67,-19,12,-23,-33,-149,32,-17,0,-24,-35,50,74,-19,2,-19,-126,202,62,-21,3,-17,-39,391,152,-18,6,-7,61,556,81,-14,0,-6,101,610,23,-9,0,3,75,549,145,-1,-1,8,157,463,2,8,-5,14,34,288,60,10,-5,15,24,78,-42,9,-1,12,-46,-40,40,3,0,4,2,-46,-1,1,0,0,-21,-33,-16,-1,1,-1,13,-24,-38,-1,0,-1,0,-17,10,-1,0,-1,-6,-13,-6,0,0,0,-5,-6,2,0,0,0,6,1,1,0,0,0,-3,-4,4,0,-1,0,3,2,3,0,0,0,0,1,0,left
147,-50,42,-219,3456,522,89,-25,57,-42,1057,107,59,-13,65,205,-19,7,27,-16,29,-99,-342,-32,21,-5,19,44,-416,75,-11,1,4,28,-1181,-231,-21,10,-12,62,-954,-174,-25,3,-36,-161,-506,-94,-10,14,-20,50,-260,-140,-14,0,-24,-177,-103,26,-14,13,-16,-127,4,68,-18,0,-16,-132,168,101,-13,9,-6,-7,257,79,-16,0,-12,40,376,91,-11,5,-2,137,422,117,-8,-5,-4,151,445,25,0,-2,1,97,367,28,2,-5,0,50,273,-11,4,-2,7,-26,174,42,5,-1,7,-7,112,-2,4,0,8,-13,39,14,3,1,5,-12,-7,-13,1,1,2,-9,-10,18,0,0,1,19,-11,-23,0,-1,-1,1,-13,11,0,0,-1,6,5,-8,0,0,-1,3,6,1,0,0,0,-1,0,-8,0,0,0,-10,-5,5,0,1,0,1,-1,2,left
-46,46,-149,228,3241,727,47,2,1,9,2069,352,20,0,-20,-104,1536,253,37,-12,16,-23,1012,130,47,-2,50,119,312,199,46,-44,59,-68,-898,-187,10,1,25,-20,-1350,-175,12,-9,22,90,-1560,-307,-11,10,-6,-79,-1491,-188,-37,5,-51,-140,-976,-149,-31,35,-33,-52,-357,-37,-25,-1,-34,-61,7,-79,-25,6,-22,-129,266,169,-17,1,-13,40,474,40,-12,-1,-9,10,572,62,-8,3,-2,71,577,61,-5,0,4,91,514,42,1,3,9,102,395,33,1,-2,7,65,223,31,4,-1,10,1,104,60,5,-4,8,1,38,9,4,-1,5,-9,7,24,2,-1,2,1,-28,-4,0,0,0,-1,-16,17,0,-1,0,8,-17,-23,0,0,-1,4,-18,11,0,-1,0,-7,-10,-8,0,0,0,0,0,-11,0,0,0,-6,-3,9,0,1,0,2,2,-9,left
159,-55,20,-129,3898,703,123,-14,74,167,1113,206,65,-16,46,271,-53,96,29,-22,28,-61,-287,-2,22,-10,17,-9,-400,84,-11,4,11,-33,-1271,-301,-33,6,-16,-81,-1025,-188,-29,9,-24,-209,-569,-139,-14,18,-20,10,-378,-217,-18,10,-24,-107,-145,40,-14,11,-22,-36,-2,68,-16,0,-22,-91,182,124,-14,2,-12,-1,335,89,-15,3,-11,18,485,106,-9,2,-1,139,508,65,-10,-4,1,107,487,88,-2,-1,5,107,399,4,2,-1,7,42,281,9,5,-3,8,12,136,24,4,-2,8,-27,43,0,4,-1,5,-12,15,13,2,0,2,-4,0,-11,0,0,1,1,-7,-18,0,1,0,3,-6,0,0,0,0,3,0,7,0,0,0,0,-6,-3,0,0,-1,-4,3,9,0,0,0,2,-4,-1,0,0,0,-2,-1,8,0,0,0,-3,1,8,left
142,-40,50,-91,3091,365,109,14,90,506,610,66,42,-39,27,89,-174,53,23,-7,24,-166,-198,-15,21,-1,18,15,-284,67,-9,2,11,-64,-1018,-163,-26,-2,-18,-184,-763,-37,-9,21,-5,-62,-501,-95,-6,6,-16,126,-483,-92,-14,-1,-24,-86,-349,76,-13,6,-27,39,-187,-20,-23,-3,-27,-171,144,48,-20,7,-15,29,422,-11,-19,1,-13,38,617,66,-13,3,0,94,629,-63,-11,0,5,51,574,107,3,1,11,135,352,-25,3,-4,6,-7,174,10,6,-2,10,-28,29,57,3,0,6,-10,-2,23,3,-2,2,-7,7,7,1,0,0,22,25,-31,0,0,0,-5,7,6,0,0,1,2,-13,-7,0,0,0,-17,-4,6,0,1,0,2,-10,-1,0,0,0,-1,-5,22,0,0,0,-7,0,0,0,0,0,-4,10,6,0,0,0,7,5,-7,left
144,-56,34,-299,3614,556,107,-19,70,-75,1058,160,60,-9,58,140,12,54,28,-15,30,-48,-278,-27,22,-7,19,17,-374,65,-6,3,9,35,-1187,-256,-26,7,-18,10,-968,-160,-23,5,-30,-124,-585,-120,-13,12,-25,-8,-335,-110,-14,9,-21,-55,-131,-36,-17,5,-24,-64,25,71,-15,2,-18,-53,186,87,-15,-2,-16,24,291,37,-12,2,-6,-13,388,64,-11,0,-6,38,412,60,-6,6,2,79,415,88,-3,0,4,90,358,-4,2,2,9,28,300,104,4,-3,6,79,187,-10,5,-3,8,-3,106,50,5,-4,5,23,30,8,5,-1,4,-23,12,1,2,0,2,-11,-14,-12,1,0,2,-19,-23,-12,0,1,0,12,-13,2,-1,0,0,-18,-8,8,-1,0,0,7,-13,-9,0,0,0,-2,-1,13,0,0,-1,0,5,-7,0,0,0,-13,0,10,left
149,-82,35,-316,3123,786,108,-15,65,-27,718,327,52,-11,47,84,-60,129,28,-13,31,-19,-211,-48,18,-5,19,32,-265,66,-11,6,13,45,-1018,-260,-25,4,-11,37,-816,-193,-17,6,-17,-55,-553,-239,-11,7,-21,-6,-439,-173,-7,7,-15,-7,-306,-42,-12,11,-23,160,-121,-60,-13,-4,-20,-182,41,74,-11,6,-15,-173,127,71,-14,3,-13,-123,209,188,-20,11,-12,-79,372,-36,-15,0,-7,-72,496,230,-11,8,-1,182,539,127,-9,-8,0,174,504,52,-1,0,11,137,427,30,7,-14,8,38,216,-14,7,0,10,-64,36,34,4,-2,7,-25,-43,21,4,1,4,16,-35,-25,2,0,-1,-5,-32,-13,0,0,0,23,-21,-29,0,-1,-1,-7,-12,13,0,0,-1,9,-14,-17,0,0,-1,-18,-12,-3,0,0,0,20,3,-6,0,0,0,0,0,11,left
149,-65,17,-111,3820,730,91,-24,43,-59,1401,242,84,-5,71,269,176,91,37,-19,31,-37,-250,26,25,-8,25,-12,-357,112,-7,-2,12,-12,-1196,-298,-16,6,-1,-39,-1066,-248,-32,-2,-33,-234,-669,-128,-13,19,-23,-102,-393,-159,-8,9,-28,-85,-265,-21,-11,14,-23,-172,-188,208,-17,2,-27,11,-7,61,-18,4,-17,17,287,75,-19,0,-18,161,484,-19,-17,2,-6,115,607,205,-12,1,0,219,625,-135,-3,1,10,55,522,41,2,0,6,61,286,-2,6,-3,15,-37,120,102,4,-4,10,-22,20,49,5,-2,6,-18,10,24,3,-2,1,-12,4,-13,1,0,0,-1,-10,-21,0,-1,0,7,0,18,0,0,0,3,6,-23,-1,0,0,3,-16,-3,0,0,0,6,-12,9,0,0,0,-10,1,0,0,0,0,-9,-8,-5,0,0,0,-14,-7,7,left
150,-52,10,-21,4208,763,131,-17,85,102,1181,315,72,-8,69,182,-95,167,28,-20,39,-1,-377,-15,21,-8,21,47,-423,43,-8,-2,14,6,-1331,-340,-36,9,-23,-59,-1012,-227,-31,6,-40,-137,-483,-265,-9,17,-29,-82,-225,-178,-11,10,-26,-99,-74,-8,-14,13,-22,-138,5,149,-14,-3,-19,-64,103,107,-15,0,-6,-93,224,204,-18,3,-10,98,323,28,-14,2,0,55,406,137,-12,4,-1,163,448,-23,-4,1,5,98,424,106,0,0,4,140,325,-50,5,-4,7,0,211,49,5,-2,6,10,96,22,6,-4,6,-17,42,45,4,-1,3,-7,15,-11,3,-1,2,-11,-11,-2,1,0,1,-9,-11,-11,0,0,0,-7,-9,17,0,1,0,-3,-12,-26,0,0,0,8,-4,24,0,0,0,0,-3,-12,-1,-1,0,8,9,13,0,0,-1,-1,-5,-11,left
148,-53,4,-228,4114,775,123,-15,77,18,1196,293,65,-1,64,199,4,171,24,-18,37,18,-286,21,19,-12,23,46,-331,80,-11,-1,15,46,-1232,-348,-34,3,-17,-30,-969,-223,-27,1,-31,-151,-518,-217,-11,15,-27,-69,-276,-236,-13,12,-20,-146,-140,-32,-10,15,-17,7,-43,59,-10,0,-14,-65,90,139,-9,0,-6,-142,155,115,-7,2,-3,-6,176,165,-9,1,-9,23,213,41,-12,-1,-7,-34,282,72,-11,4,-7,87,320,116,-8,0,-8,201,351,-40,-5,-4,-4,76,348,43,0,-1,4,82,273,5,3,-2,6,47,192,26,6,-1,8,-13,93,-4,4,0,8,-20,16,14,3,1,6,-10,-10,-3,1,0,2,3,-13,-16,0,0,0,-14,-17,17,0,0,0,25,-10,-12,-1,-1,-2,-8,-3,4,0,0,-1,3,0,-3,0,0,0,-2,6,13,left
